Date,MGM,LVS,PENN,WYNN,UNEM,CPI,GDPCAP,INT,RATE,PASS
2/15/2005,36.902027,33.87286,7.473434,41.084114,5.4,3.007518797,50068,12.21,5.57,65782646
2/16/2005,36.741459,33.15927,7.568392,40.780609,5.4,3.007518797,50068,12.21,5.57,65782646
2/17/2005,37.072033,33.44603,7.356998,40.410873,5.4,3.007518797,50068,12.21,5.62,65782646
2/18/2005,37.072033,32.71241,7.108298,40.140469,5.4,3.007518797,50068,12.21,5.62,65782646
2/22/2005,35.442753,31.75872,6.756726,38.722256,5.4,3.007518797,50068,12.21,5.62,65782646
2/23/2005,35.334137,31.61200,6.914990,38.843655,5.4,3.007518797,50068,12.21,5.62,65782646
2/24/2005,35.253853,31.55198,6.999774,39.676929,5.4,3.007518797,50068,12.21,5.69,65782646
2/25/2005,34.994118,32.34561,6.809858,39.765224,5.4,3.007518797,50068,12.21,5.69,65782646
2/28/2005,35.027172,31.94547,6.823423,39.494835,5.4,3.007518797,50068,12.21,5.69,65782646
3/1/2005,35.551388,33.35933,6.914990,39.710052,5.2,3.148345784,50068,12.21,5.69,66476491
3/2/2005,35.773327,33.33265,6.822293,40.256355,5.2,3.148345784,50068,12.21,5.69,66476491
3/3/2005,35.735554,33.14592,6.917251,39.925262,5.2,3.148345784,50068,12.21,5.79,66476491
3/4/2005,35.489990,32.23224,6.887859,39.538967,5.2,3.148345784,50068,12.21,5.79,66476491
3/7/2005,36.056690,33.21261,6.822293,40.973747,5.2,3.148345784,50068,12.21,5.79,66476491
3/8/2005,34.838276,31.57865,6.782727,39.892151,5.2,3.148345784,50068,12.21,5.79,66476491
3/9/2005,34.214901,30.07809,6.497852,38.639477,5.2,3.148345784,50068,12.21,5.79,66476491
3/10/2005,33.855976,30.49824,6.549853,38.534634,5.2,3.148345784,50068,12.21,5.85,66476491
3/11/2005,34.318787,30.67164,6.561158,38.954025,5.2,3.148345784,50068,12.21,5.85,66476491
3/14/2005,34.857159,31.65868,6.683247,39.610722,5.2,3.148345784,50068,12.21,5.85,66476491
3/15/2005,36.382538,32.94584,6.922903,40.206692,5.2,3.148345784,50068,12.21,5.85,66476491
3/16/2005,35.584438,32.21890,6.882207,39.671413,5.2,3.148345784,50068,12.21,5.85,66476491
3/17/2005,35.829998,32.35228,6.873163,40.294991,5.2,3.148345784,50068,12.21,5.95,66476491
3/18/2005,35.825291,32.50567,6.877685,39.693485,5.2,3.148345784,50068,12.21,5.95,66476491
3/21/2005,35.834728,32.21890,6.748813,39.511372,5.2,3.148345784,50068,12.21,5.95,66476491
3/22/2005,35.541939,31.00511,6.712638,38.573265,5.2,3.148345784,50068,12.21,5.95,66476491
3/23/2005,34.162949,30.51824,6.812118,38.153873,5.2,3.148345784,50068,12.21,5.95,66476491
3/24/2005,34.611599,30.67831,6.891250,38.898842,5.2,3.148345784,50068,12.21,6.01,66476491
3/28/2005,34.361294,30.66497,6.692290,39.318241,5.2,3.148345784,50068,12.21,6.01,66476491
3/29/2005,33.175926,29.34447,6.606376,37.54686,5.2,3.148345784,50068,12.21,6.01,66476491
3/30/2005,33.435680,30.41822,6.764639,38.209057,5.2,3.148345784,50068,12.21,6.01,66476491
3/31/2005,33.445114,30.01140,6.642550,37.381298,5.2,3.148345784,50068,12.21,6.04,66476491
4/1/2005,33.237324,29.51788,6.979426,36.443172,5.2,3.510638298,50204,12.21,6.04,66461434
4/4/2005,33.308163,28.58418,6.873163,35.13533,5.2,3.510638298,50204,12.21,6.04,66461434
4/5/2005,33.043701,28.08400,6.983948,35.124287,5.2,3.510638298,50204,12.21,6.04,66461434
4/6/2005,33.194828,29.21109,6.929686,35.345039,5.2,3.510638298,50204,12.21,6.04,66461434
4/7/2005,34.243225,29.44451,6.807597,35.863747,5.2,3.510638298,50204,12.21,5.93,66461434
4/8/2005,34.413246,28.96433,6.726204,34.837337,5.2,3.510638298,50204,12.21,5.93,66461434
4/11/2005,34.380192,29.01768,6.834728,34.511761,5.2,3.510638298,50204,12.21,5.93,66461434
4/12/2005,34.937447,29.31113,7.291431,35.587833,5.2,3.510638298,50204,12.21,5.93,66461434
4/13/2005,35.442753,29.34447,7.540131,35.74234,5.2,3.510638298,50204,12.21,5.93,66461434
4/14/2005,34.710758,28.87763,7.347954,34.302052,5.2,3.510638298,50204,12.21,5.91,66461434
4/15/2005,33.374279,27.24367,7.221343,33.010761,5.2,3.510638298,50204,12.21,5.91,66461434
4/18/2005,32.930359,26.57676,7.318562,32.618969,5.2,3.510638298,50204,12.21,5.91,66461434
4/19/2005,32.528942,26.54341,7.375085,32.696232,5.2,3.510638298,50204,12.21,5.91,66461434
4/20/2005,31.688324,25.25626,7.200995,30.527512,5.2,3.510638298,50204,12.21,5.91,66461434
4/21/2005,32.439205,24.92946,7.250735,30.70961,5.2,3.510638298,50204,12.21,5.8,66461434
4/22/2005,31.499426,24.67603,7.031427,29.252775,5.2,3.510638298,50204,12.21,5.8,66461434
4/25/2005,32.774521,24.84942,7.316301,30.273668,5.2,3.510638298,50204,12.21,5.8,66461434
4/26/2005,33.341228,25.84315,7.237169,31.095894,5.2,3.510638298,50204,12.21,5.8,66461434
4/27/2005,32.916195,25.64307,6.968121,30.179857,5.2,3.510638298,50204,12.21,5.8,66461434
4/28/2005,32.514782,25.34295,6.956817,29.523165,5.2,3.510638298,50204,12.21,5.78,66461434
4/29/2005,32.968136,24.97615,7.121863,29.214142,5.2,3.510638298,50204,12.21,5.78,66461434
5/2/2005,33.057873,25.54302,7.345693,27.933884,5.1,2.802749868,50204,12.77,5.78,67005781
5/3/2005,32.160583,24.07581,7.185168,26.101789,5.1,2.802749868,50204,12.77,5.78,67005781
5/4/2005,33.511227,24.09581,7.503957,27.359968,5.1,2.802749868,50204,12.77,5.78,67005781
5/5/2005,33.412060,23.70232,7.503957,27.133724,5.1,2.802749868,50204,12.77,5.75,67005781
5/6/2005,33.662357,24.00911,7.438390,26.719849,5.1,2.802749868,50204,12.77,5.75,67005781
5/9/2005,33.081493,24.24253,7.589871,26.27286,5.1,2.802749868,50204,12.77,5.75,67005781
5/10/2005,32.453381,23.85572,7.542392,25.842428,5.1,2.802749868,50204,12.77,5.75,67005781
5/11/2005,32.349483,23.94910,7.488130,25.478218,5.1,2.802749868,50204,12.77,5.75,67005781
5/12/2005,31.560816,23.40889,7.343432,24.622875,5.1,2.802749868,50204,12.77,5.77,67005781
5/13/2005,31.546658,22.47520,7.198734,24.18141,5.1,2.802749868,50204,12.77,5.77,67005781
5/16/2005,32.774521,22.64193,7.327606,24.595287,5.1,2.802749868,50204,12.77,5.77,67005781
5/17/2005,33.350662,23.35553,7.309518,25.014679,5.1,2.802749868,50204,12.77,5.77,67005781
5/18/2005,33.719021,24.34257,7.689351,25.903137,5.1,2.802749868,50204,12.77,5.77,67005781
5/19/2005,34.569080,24.80942,7.813701,26.460489,5.1,2.802749868,50204,12.77,5.71,67005781
5/20/2005,34.408508,24.75606,7.650916,26.05764,5.1,2.802749868,50204,12.77,5.71,67005781
5/23/2005,34.229053,24.80942,7.589871,25.48926,5.1,2.802749868,50204,12.77,5.71,67005781
5/24/2005,34.068493,24.51597,7.318562,24.788424,5.1,2.802749868,50204,12.77,5.71,67005781
5/25/2005,33.719021,23.75568,7.085688,24.280735,5.1,2.802749868,50204,12.77,5.71,67005781
5/26/2005,34.370739,24.48930,7.160298,24.777393,5.1,2.802749868,50204,12.77,5.65,67005781
5/27/2005,34.474632,24.80275,6.997513,24.992601,5.1,2.802749868,50204,12.77,5.65,67005781
5/31/2005,35.976406,24.18251,7.356998,25.853468,5.1,2.802749868,50204,12.77,5.65,67005781
6/1/2005,36.033081,24.93613,7.035948,27.564157,5,2.530311017,50204,12.77,5.65,66660947
6/2/2005,36.562000,25.87649,7.298214,29.467983,5,2.530311017,50204,12.77,5.62,66660947
6/3/2005,37.544289,26.00987,7.282388,30.361958,5,2.530311017,50204,12.77,5.62,66660947
6/6/2005,36.902027,25.47634,7.212299,29.009962,5,2.530311017,50204,12.77,5.62,66660947
6/7/2005,36.514782,25.00950,7.067601,29.247255,5,2.530311017,50204,12.77,5.62,66660947
6/8/2005,37.374283,24.59600,7.013339,29.087223,5,2.530311017,50204,12.77,5.62,66660947
6/9/2005,39.527756,24.64269,7.076645,29.186552,5,2.530311017,50204,12.77,5.56,66660947
6/10/2005,38.894955,24.79608,6.988469,28.954784,5,2.530311017,50204,12.77,5.56,66660947
6/13/2005,39.159409,25.00950,7.069862,28.827864,5,2.530311017,50204,12.77,5.56,66660947
6/14/2005,40.179474,26.08324,7.094732,30.069477,5,2.530311017,50204,12.77,5.56,66660947
6/15/2005,39.952801,25.67642,6.929686,29.661133,5,2.530311017,50204,12.77,5.56,66660947
6/16/2005,39.499428,25.87649,7.058558,29.997744,5,2.530311017,50204,12.77,5.63,66660947
6/17/2005,39.489990,26.64345,7.099254,29.335554,5,2.530311017,50204,12.77,5.63,66660947
6/20/2005,38.970497,26.34334,7.042731,29.026512,5,2.530311017,50204,12.77,5.63,66660947
6/21/2005,39.149967,25.87649,6.803075,28.833374,5,2.530311017,50204,12.77,5.63,66660947
6/22/2005,39.197182,26.13659,7.732308,29.192066,5,2.530311017,50204,12.77,5.63,66660947
6/23/2005,37.931541,25.00950,7.791092,27.757294,5,2.530311017,50204,12.77,5.57,66660947
6/24/2005,37.072033,25.14288,7.867963,27.321344,5,2.530311017,50204,12.77,5.57,66660947
6/27/2005,36.675339,24.63602,7.797875,26.675701,5,2.530311017,50204,12.77,5.57,66660947
6/28/2005,37.619862,24.94280,8.026227,27.045439,5,2.530311017,50204,12.77,5.57,66660947
6/29/2005,37.600964,24.38260,8.277187,27.31031,5,2.530311017,50204,12.77,5.57,66660947
6/30/2005,37.383728,23.84239,8.252317,26.085238,5,2.530311017,50204,12.77,5.53,66660947
7/1/2005,37.582066,24.17584,8.290753,26.521191,5,3.167898627,50470,12.77,5.53,66800949
7/5/2005,37.874870,24.44261,8.290753,27.166832,5,3.167898627,50470,12.77,5.53,66800949
7/6/2005,38.318790,24.36258,8.198056,27.33239,5,3.167898627,50470,12.77,5.53,66800949
7/7/2005,38.819382,24.43593,8.322406,27.10614,5,3.167898627,50470,12.77,5.62,66800949
7/8/2005,39.622211,25.14955,8.580149,28.469164,5,3.167898627,50470,12.77,5.62,66800949
7/11/2005,40.302254,25.24292,8.623106,29.357607,5,3.167898627,50470,12.77,5.62,66800949
7/12/2005,40.292820,25.38297,8.727108,30.075008,5,3.167898627,50470,12.77,5.62,66800949
7/13/2005,40.340046,25.27626,8.595976,30.212967,5,3.167898627,50470,12.77,5.62,66800949
7/14/2005,40.604500,24.95614,8.553018,29.903931,5,3.167898627,50470,12.77,5.66,66800949
7/15/2005,41.369560,25.28293,8.539453,30.406109,5,3.167898627,50470,12.77,5.66,66800949
7/18/2005,41.171223,25.27626,8.256839,30.345413,5,3.167898627,50470,12.77,5.66,66800949
7/19/2005,41.190102,25.92985,8.166403,30.439213,5,3.167898627,50470,12.77,5.66,66800949
7/20/2005,42.484085,26.00987,8.177707,31.01313,5,3.167898627,50470,12.77,5.66,66800949
7/21/2005,42.625767,26.88354,8.103097,31.217302,5,3.167898627,50470,12.77,5.73,66800949
7/22/2005,42.720219,26.87687,8.193534,31.294569,5,3.167898627,50470,12.77,5.73,66800949
7/25/2005,41.341225,26.00987,8.166403,31.410444,5,3.167898627,50470,12.77,5.73,66800949
7/26/2005,41.634037,25.33628,8.157359,31.123491,5,3.167898627,50470,12.77,5.73,66800949
7/27/2005,41.464016,25.64974,8.053357,31.057262,5,3.167898627,50470,12.77,5.73,66800949
7/28/2005,43.447483,26.41003,8.272666,31.763615,5,3.167898627,50470,12.77,5.77,66800949
7/29/2005,42.928009,26.82352,8.082749,31.068298,5,3.167898627,50470,12.77,5.77,66800949
8/1/2005,42.672989,26.85686,8.231969,31.272488,4.9,3.64116095,50470,12.48,5.77,66219678
8/2/2005,43.022453,26.95690,8.286231,29.975672,4.9,3.64116095,50470,12.48,5.77,66219678
8/3/2005,41.634037,25.42298,8.293014,28.827864,4.9,3.64116095,50470,12.48,5.77,66219678
8/4/2005,40.547836,25.07619,8.277187,28.800257,4.9,3.64116095,50470,12.48,5.82,66219678
8/5/2005,40.443939,25.30294,8.247796,28.629192,4.9,3.64116095,50470,12.48,5.82,66219678
8/8/2005,39.603329,24.86944,8.243274,28.745083,4.9,3.64116095,50470,12.48,5.82,66219678
8/9/2005,40.755630,25.24292,8.281709,29.169989,4.9,3.64116095,50470,12.48,5.82,66219678
8/10/2005,41.095657,25.23624,8.424147,29.550766,4.9,3.64116095,50470,12.48,5.82,66219678
8/11/2005,40.472271,25.26959,8.482930,29.578356,4.9,3.64116095,50470,12.48,5.89,66219678
8/12/2005,39.962246,25.20957,8.358580,29.214142,4.9,3.64116095,50470,12.48,5.89,66219678
8/15/2005,40.538395,25.28293,8.399277,28.894079,4.9,3.64116095,50470,12.48,5.89,66219678
8/16/2005,39.253860,24.82276,8.304318,28.099428,4.9,3.64116095,50470,12.48,5.89,66219678
8/17/2005,40.727295,25.20957,8.347276,28.833374,4.9,3.64116095,50470,12.48,5.89,66219678
8/18/2005,40.094475,25.16289,8.247796,28.104954,4.9,3.64116095,50470,12.48,5.8,66219678
8/19/2005,39.480541,24.68270,8.175447,27.233061,4.9,3.64116095,50470,12.48,5.8,66219678
8/22/2005,40.321152,24.16917,7.992313,27.039919,4.9,3.64116095,50470,12.48,5.8,66219678
8/23/2005,39.726120,23.77569,7.990052,26.394266,4.9,3.64116095,50470,12.48,5.8,66219678
8/24/2005,39.678890,23.49559,8.023966,26.145941,4.9,3.64116095,50470,12.48,5.8,66219678
8/25/2005,41.010654,23.95576,7.926747,26.797102,4.9,3.64116095,50470,12.48,5.77,66219678
8/26/2005,40.406155,23.92241,7.834049,26.493599,4.9,3.64116095,50470,12.48,5.77,66219678
8/29/2005,40.897308,24.17584,7.892833,26.570856,4.9,3.64116095,50470,12.48,5.77,66219678
8/30/2005,40.236145,23.81570,7.786570,25.80932,4.9,3.64116095,50470,12.48,5.77,66219678
8/31/2005,39.915016,23.53560,7.705177,26.333565,4.9,3.64116095,50470,12.48,5.77,66219678
9/1/2005,39.669437,23.79570,7.574045,26.95714,5,4.686677199,50470,12.48,5.71,66641665
9/2/2005,39.820560,23.83571,7.626046,26.81917,5,4.686677199,50470,12.48,5.71,66641665
9/6/2005,40.349487,24.06247,7.669003,27.244091,5,4.686677199,50470,12.48,5.71,66641665
9/7/2005,43.022453,25.66974,7.793353,28.093906,5,4.686677199,50470,12.48,5.71,66641665
9/8/2005,43.060230,25.64307,7.897355,27.851107,5,4.686677199,50470,12.48,5.71,66641665
9/9/2005,43.192471,25.28960,7.734569,27.608299,5,4.686677199,50470,12.48,5.71,66641665
9/12/2005,43.107456,24.67603,7.621524,27.475857,5,4.686677199,50470,12.48,5.71,66641665
9/13/2005,42.597431,24.01578,7.361519,27.095093,5,4.686677199,50470,12.48,5.71,66641665
9/14/2005,42.247952,23.54227,7.065340,27.437227,5,4.686677199,50470,12.48,5.71,66641665
9/15/2005,42.361294,23.26884,7.056297,26.808136,5,4.686677199,50470,12.48,5.74,66641665
9/16/2005,42.295177,23.33553,7.262039,26.521191,5,4.686677199,50470,12.48,5.74,66641665
9/19/2005,41.312889,22.44853,7.291431,26.123867,5,4.686677199,50470,12.48,5.74,66641665
9/20/2005,39.716675,22.56189,7.047253,25.185741,5,4.686677199,50470,12.48,5.74,66641665
9/21/2005,39.877239,21.32809,7.008818,24.253143,5,4.686677199,50470,12.48,5.74,66641665
9/22/2005,40.972866,21.54151,7.108298,24.650478,5,4.686677199,50470,12.48,5.8,66641665
9/23/2005,41.397900,21.59486,7.058558,24.959496,5,4.686677199,50470,12.48,5.8,66641665
9/26/2005,40.755630,21.12802,7.126385,24.208998,5,4.686677199,50470,12.48,5.8,66641665
9/27/2005,41.180656,21.10802,7.090210,24.562166,5,4.686677199,50470,12.48,5.8,66641665
9/28/2005,40.821739,21.75493,7.063079,24.722212,5,4.686677199,50470,12.48,5.8,66641665
9/29/2005,40.897308,22.08172,7.076645,24.391098,5,4.686677199,50470,12.48,5.91,66641665
9/30/2005,41.341225,21.94833,7.033688,24.91535,5,4.686677199,50470,12.48,5.91,66641665
10/3/2005,40.472271,22.06171,6.911598,24.69462,5,4.347826087,50629,12.48,5.91,65357653
10/4/2005,41.246777,22.35515,6.986208,24.854647,5,4.347826087,50629,12.48,5.91,65357653
10/5/2005,39.971680,21.98834,6.678725,24.689098,5,4.347826087,50629,12.48,5.91,65357653
10/6/2005,39.773338,21.22806,6.622202,23.276402,5,4.347826087,50629,12.48,5.98,65357653
10/7/2005,39.452202,21.70824,6.567940,23.646124,5,4.347826087,50629,12.48,5.98,65357653
10/10/2005,37.780430,20.88793,6.463939,23.579906,5,4.347826087,50629,12.48,5.98,65357653
10/11/2005,37.704857,20.66117,6.430025,24.142786,5,4.347826087,50629,12.48,5.98,65357653
10/12/2005,36.835911,20.06762,6.228804,23.601978,5,4.347826087,50629,12.48,5.98,65357653
10/13/2005,37.166485,19.92090,6.131585,24.214514,5,4.347826087,50629,12.48,6.03,65357653
10/14/2005,38.196014,20.92127,6.332806,24.771875,5,4.347826087,50629,12.48,6.03,65357653
10/17/2005,38.337677,20.66117,6.253674,25.158163,5,4.347826087,50629,12.48,6.03,65357653
10/18/2005,37.223160,19.80085,5.995930,24.126225,5,4.347826087,50629,12.48,6.03,65357653
10/19/2005,39.782780,21.00797,6.138368,25.63274,5,4.347826087,50629,12.48,6.03,65357653
10/20/2005,39.905571,21.00797,6.120280,25.48926,5,4.347826087,50629,12.48,6.1,65357653
10/21/2005,39.650551,21.57486,6.246891,26.201118,5,4.347826087,50629,12.48,6.1,65357653
10/24/2005,40.982304,22.94205,6.502374,27.34894,5,4.347826087,50629,12.48,6.1,65357653
10/25/2005,41.284554,22.51521,6.255935,26.841255,5,4.347826087,50629,12.48,6.1,65357653
10/26/2005,35.655270,21.70824,5.946190,24.832567,5,4.347826087,50629,12.48,6.1,65357653
10/27/2005,34.767429,21.27474,6.206195,24.048977,5,4.347826087,50629,12.48,6.15,65357653
10/28/2005,35.324696,22.08172,6.536288,24.628393,5,4.347826087,50629,12.48,6.15,65357653
10/31/2005,35.296349,22.87535,6.680986,25.732065,5,4.347826087,50629,12.48,6.15,65357653
11/1/2005,34.587978,22.60191,6.592810,25.853468,5,3.455497382,50629,12.58,6.15,66401433
11/2/2005,35.419144,23.17547,6.622202,27.404127,5,3.455497382,50629,12.58,6.15,66401433
11/3/2005,36.779240,24.28922,6.703595,27.597267,5,3.455497382,50629,12.58,6.31,66401433
11/4/2005,37.213715,25.11621,6.879946,27.558638,5,3.455497382,50629,12.58,6.31,66401433
11/7/2005,37.005920,25.78978,6.929686,28.187735,5,3.455497382,50629,12.58,6.31,66401433
11/8/2005,35.900841,25.15622,6.922903,27.591743,5,3.455497382,50629,12.58,6.31,66401433
11/9/2005,35.702499,25.42298,6.882207,27.674522,5,3.455497382,50629,12.58,6.31,66401433
11/10/2005,36.977592,27.07028,7.063079,28.640238,5,3.455497382,50629,12.58,6.36,66401433
11/11/2005,36.647007,27.20367,6.986208,28.463654,5,3.455497382,50629,12.58,6.36,66401433
11/14/2005,36.486435,27.60381,7.035948,29.523165,5,3.455497382,50629,12.58,6.36,66401433
11/15/2005,36.769798,26.77016,6.873163,28.938225,5,3.455497382,50629,12.58,6.36,66401433
11/16/2005,35.702499,26.60343,6.868641,28.546419,5,3.455497382,50629,12.58,6.36,66401433
11/17/2005,36.410877,27.73052,6.920642,29.975672,5,3.455497382,50629,12.58,6.37,66401433
11/18/2005,36.410877,27.93727,6.970382,30.02533,5,3.455497382,50629,12.58,6.37,66401433
11/21/2005,38.054321,29.66459,7.223604,31.978832,5,3.455497382,50629,12.58,6.37,66401433
11/22/2005,37.988228,30.03139,7.431608,33.027325,5,3.455497382,50629,12.58,6.37,66401433
11/23/2005,38.904388,30.56494,7.551436,33.148731,5,3.455497382,50629,12.58,6.28,66401433
11/25/2005,38.857162,30.28483,7.553697,33.126659,5,3.455497382,50629,12.58,6.28,66401433
11/28/2005,37.421513,29.77797,7.531087,32.249226,5,3.455497382,50629,12.58,6.28,66401433
11/29/2005,37.024822,28.54417,7.533348,31.791203,5,3.455497382,50629,12.58,6.28,66401433
11/30/2005,35.995293,27.81723,7.499435,30.808945,5,3.455497382,50629,12.58,6.28,66401433
12/1/2005,36.817020,27.67717,7.578567,31.410444,4.9,3.415659485,50629,12.58,6.26,66623942
12/2/2005,36.495888,27.23700,7.467782,30.902763,4.9,3.415659485,50629,12.58,6.26,66623942
12/5/2005,35.371914,26.72348,7.431608,30.731682,4.9,3.415659485,50629,12.58,6.26,66623942
12/6/2005,35.371914,26.97691,7.352476,30.924829,4.9,3.415659485,50629,12.58,6.26,66623942
12/7/2005,35.183014,27.28370,7.250735,30.897238,4.9,3.415659485,50629,12.58,6.26,66623942
12/8/2005,35.494717,27.47710,7.198734,30.996563,4.9,3.415659485,50629,12.58,6.32,66623942
12/9/2005,35.683613,26.81685,7.248474,31.289051,4.9,3.415659485,50629,12.58,6.32,66623942
12/12/2005,36.514782,27.20367,7.320823,31.675325,4.9,3.415659485,50629,12.58,6.32,66623942
12/13/2005,35.135799,26.43671,7.399955,30.85309,4.9,3.415659485,50629,12.58,6.32,66623942
12/14/2005,34.918556,26.38334,7.377346,30.372992,4.9,3.415659485,50629,12.58,6.32,66623942
12/15/2005,34.729645,25.91651,7.350215,30.12467,4.9,3.415659485,50629,12.58,6.3,66623942
12/16/2005,34.493523,25.82981,7.252996,30.262625,4.9,3.415659485,50629,12.58,6.3,66623942
12/19/2005,33.539566,25.65640,7.133168,29.79357,4.9,3.415659485,50629,12.58,6.3,66623942
12/20/2005,34.002377,26.08990,7.078906,29.953609,4.9,3.415659485,50629,12.58,6.3,66623942
12/21/2005,34.285736,26.87020,7.189690,30.488882,4.9,3.415659485,50629,12.58,6.3,66623942
12/22/2005,34.210175,27.23700,7.243952,30.35092,4.9,3.415659485,50629,12.58,6.26,66623942
12/23/2005,34.002377,27.07028,7.298214,30.190886,4.9,3.415659485,50629,12.58,6.26,66623942
12/27/2005,33.813477,26.82352,7.257518,30.334362,4.9,3.415659485,50629,12.58,6.26,66623942
12/28/2005,33.907921,26.45671,7.411259,30.339884,4.9,3.415659485,50629,12.58,6.26,66623942
12/29/2005,34.295170,26.51674,7.422564,30.406109,4.9,3.415659485,50629,12.58,6.22,66623942
12/30/2005,34.635201,26.32333,7.449695,30.268143,4.9,3.415659485,50629,12.58,6.22,66623942
1/3/2006,34.880775,25.79646,7.635089,29.771492,4.7,3.985317252,51200,12.58,6.22,66885269
1/4/2006,33.983482,26.73681,7.522044,29.716312,4.7,3.985317252,51200,12.58,6.22,66885269
1/5/2006,33.766254,27.03026,7.551436,29.53973,4.7,3.985317252,51200,12.58,6.21,66885269
1/6/2006,34.559639,27.75053,7.635089,29.821152,4.7,3.985317252,51200,12.58,6.21,66885269
1/9/2006,35.617485,28.54417,7.696134,31.228333,4.7,3.985317252,51200,12.58,6.21,66885269
1/10/2006,35.740280,28.66421,7.621524,31.266973,4.7,3.985317252,51200,12.58,6.21,66885269
1/11/2006,36.410877,31.55864,7.488130,32.20509,4.7,3.985317252,51200,12.58,6.21,66885269
1/12/2006,35.636375,31.17850,7.438390,31.901581,4.7,3.985317252,51200,12.58,6.15,66885269
1/13/2006,35.740280,32.24558,7.237169,32.199562,4.7,3.985317252,51200,12.58,6.15,66885269
1/17/2006,34.852440,31.71204,7.325345,31.399403,4.7,3.985317252,51200,12.58,6.15,66885269
1/18/2006,34.946899,31.89210,7.237169,30.68754,4.7,3.985317252,51200,12.58,6.15,66885269
1/19/2006,34.569080,31.86544,7.194212,30.621319,4.7,3.985317252,51200,12.58,6.1,66885269
1/20/2006,34.096836,33.11924,7.112819,32.436855,4.7,3.985317252,51200,12.58,6.1,66885269
1/23/2006,33.464008,31.03178,6.997513,31.736031,4.7,3.985317252,51200,12.58,6.1,66885269
1/24/2006,34.521858,31.83209,7.015600,31.840862,4.7,3.985317252,51200,12.58,6.1,66885269
1/25/2006,34.654087,31.51197,7.106037,31.752583,4.7,3.985317252,51200,12.58,6.1,66885269
1/26/2006,35.551388,31.84543,7.194212,33.154251,4.7,3.985317252,51200,12.58,6.12,66885269
1/27/2006,35.749722,32.37229,7.248474,34.732479,4.7,3.985317252,51200,12.58,6.12,66885269
1/30/2006,35.343590,33.28597,7.275605,35.714756,4.7,3.985317252,51200,12.58,6.12,66885269
